date,gscpi
1998-01-31,-1.0828779186089943
1998-02-28,-0.45547077930134533
1998-03-31,-0.07843951755017166
1998-04-30,-0.13727907590350433
1998-05-31,-0.43701502592668046
1998-06-30,-0.7483953315997547
1998-07-31,-0.9241293488117208
1998-08-31,-0.8857857709258946
1998-09-30,-0.8934514726092488
1998-10-31,-0.6709286099078232
1998-11-30,-0.8361372685448508
1998-12-31,-0.5847207407373983
1999-01-31,-0.25953400899877305
1999-02-28,0.02274490372946241
1999-03-31,-0.2617500301646641
1999-04-30,-0.2113837749145012
1999-05-31,-0.33959010735619
1999-06-30,-0.3611228538033354
1999-07-31,-0.6055272360611577
1999-08-31,-0.4447758601830259
1999-09-30,-0.38239467331801247
1999-10-31,-0.12226509064224043
1999-11-30,-0.16445294458378446
1999-12-31,-0.19756569971218174
2000-01-31,-0.6008049456431561
2000-02-29,-0.4022172931752908
2000-03-31,-0.283132445912712
2000-04-30,0.13732899384474567
2000-05-31,0.28845579803083254
2000-06-30,0.046571060259945424
2000-07-31,-0.0037447666335295353
2000-08-31,0.09321257660683166
2000-09-30,0.05351669665676642
2000-10-31,-0.4967835678950754
2000-11-30,-0.7099550471802742
2000-12-31,-0.8988612692888465
2001-01-31,-0.8870687177279516
2001-02-28,-0.7528116157735192
2001-03-31,-0.5605241986691244
2001-04-30,-0.9609186517761611
2001-05-31,-1.08048945709894
2001-06-30,-0.6635161910595166
2001-07-31,-0.7774319865245285
2001-08-31,-0.7388578479480707
2001-09-30,-0.6355967009847404
2001-10-31,-1.170067976170083
2001-11-30,-1.3861478265970981
2001-12-31,-1.1162216308499824
2002-01-31,-0.8650216364672277
2002-02-28,-0.4324319317427205
2002-03-31,-0.40827332414601186
2002-04-30,-0.5539550657988596
2002-05-31,-0.27401952703882515
2002-06-30,-0.5982267424820391
2002-07-31,-0.9141675118261366
2002-08-31,-1.0528555234430839
2002-09-30,-1.1102685861350354
2002-10-31,-1.2085750429455002
2002-11-30,-0.7028914373065005
2002-12-31,-0.6643218507697696
2003-01-31,-0.6048710363698726
2003-02-28,-0.27910795575869946
2003-03-31,-0.3045829462066105
2003-04-30,-0.5420102675619055
2003-05-31,-0.19465260139349147
2003-06-30,-0.1020952926579282
2003-07-31,0.013265585471097002
2003-08-31,-0.061112313106086155
2003-09-30,0.06806352952912306
2003-10-31,-0.25630804918099925
2003-11-30,-0.41145414687452153
2003-12-31,-0.3660514503021884
2004-01-31,-0.5010822665849929
2004-02-29,-0.3734460448296
2004-03-31,-0.010257393395183454
2004-04-30,0.4074919343729811
2004-05-31,0.3488398126680914
2004-06-30,0.41801607841102895
2004-07-31,-0.4475198977776846
2004-08-31,0.0716184967527856
2004-09-30,-0.007168125045300236
2004-10-31,-0.5961026697395545
2004-11-30,-0.043166205905303484
2004-12-31,0.11333062581377663
2005-01-31,-0.09564893246576582
2005-02-28,-0.11190707764645669
2005-03-31,-0.26159210838950525
2005-04-30,-1.295894893034212
2005-05-31,-0.9606870133142221
2005-06-30,-0.9224626381154538
2005-07-31,-0.8638103022527419
2005-08-31,-0.47834312333254314
2005-09-30,0.08166406398041097
2005-10-31,-0.08000120881825518
2005-11-30,-0.6319019239288263
2005-12-31,-0.6868803441789746
2006-01-31,-0.35789297865036934
2006-02-28,-0.7312106294795581
2006-03-31,-0.38750602459189964
2006-04-30,0.10485454537825048
2006-05-31,0.10565798759130554
2006-06-30,0.16402566684073225
2006-07-31,-0.0920944155897852
2006-08-31,0.06632077736069109
2006-09-30,-0.627205425267245
2006-10-31,-0.49825728417549203
2006-11-30,-0.21953403500600066
2006-12-31,-0.44933995424982176
2007-01-31,-0.8611373336970077
2007-02-28,-0.711489247023335
2007-03-31,-0.5829085147567907
2007-04-30,-0.81194218294961
2007-05-31,-0.40889885518961133
2007-06-30,-0.3664868055938863
2007-07-31,-0.42365055327601103
2007-08-31,-0.09901500355749514
2007-09-30,-0.03481681068405626
2007-10-31,-0.6044198937337469
2007-11-30,-0.48298738596162594
2007-12-31,-0.14402839573430762
2008-01-31,-0.3649639856817297
2008-02-29,0.45509915088783315
2008-03-31,0.15439385831063104
2008-04-30,0.1409653489472967
2008-05-31,-0.11231096709192949
2008-06-30,0.2778100524087443
2008-07-31,1.0034945190786093
2008-08-31,0.2832642703977655
2008-09-30,-0.5267804361287955
2008-10-31,-0.9726830610094204
2008-11-30,-1.5107425963260215
2008-12-31,-0.6861336846044083
2009-01-31,-0.3875179372001743
2009-02-28,-0.42350833953747224
2009-03-31,0.2010549932858613
2009-04-30,0.8641469322512496
2009-05-31,0.35222916600630083
2009-06-30,-0.49040453120632
2009-07-31,-0.7273587258256854
2009-08-31,-1.1076891108032973
2009-09-30,-0.4846895932377835
2009-10-31,-0.4515774708806986
2009-11-30,-0.7862284626981162
2009-12-31,-0.613822682729989
2010-01-31,-0.32350169607176804
2010-02-28,-0.15786671524859971
2010-03-31,0.35583174007898627
2010-04-30,0.2803343101733284
2010-05-31,0.4237568150204909
2010-06-30,-0.04159847867123884
2010-07-31,-0.04987478582101669
2010-08-31,0.30652320415021056
2010-09-30,0.37209700701429416
2010-10-31,0.6755243481951249
2010-11-30,0.4534731928928229
2010-12-31,0.7025064745299376
2011-01-31,0.7739418879209629
2011-02-28,0.3620716327017046
2011-03-31,0.7335306561831624
2011-04-30,1.608329641852513
2011-05-31,0.9347780040328468
2011-06-30,0.20275388572537822
2011-07-31,0.29319186596925667
2011-08-31,-0.09140345928050334
2011-09-30,-0.5406884486345971
2011-10-31,-0.36412629229035715
2011-11-30,0.14627487518026913
