date,ship_cap
2023-02-12,1875160.0
2023-02-19,1905391.0
2023-02-26,1817215.0
2023-03-05,1731454.0
2023-03-12,1738844.0
2023-03-19,1696676.0
2023-03-26,1809967.0
2023-04-02,1989107.0
2023-04-09,1954364.0
2023-04-16,2084884.0
2023-04-23,2113358.0
2023-04-30,2003973.0
2023-05-07,1990096.0
2023-05-14,2045957.0
2023-05-21,2058996.0
2023-05-28,2080010.0
2023-06-04,2084208.0
2023-06-11,2002057.0
2023-06-18,1995206.0
2023-06-25,2201230.0
2023-07-02,2238206.0
2023-07-09,2008945.0
2023-07-16,2304492.0
2023-07-23,2180331.0
2023-07-30,2220184.0
2023-08-06,2226539.0
2023-08-13,2240146.0
2023-08-20,1982307.0
2023-08-27,1880966.0
2023-09-03,2024434.0
2023-09-10,1951485.0
2023-09-17,2181823.0
2023-09-24,2092484.0
2023-10-01,2129416.0
2023-10-08,2149448.0
2023-10-15,2312856.0
2023-10-22,2220673.0
2023-10-29,2029141.0
2023-11-05,2120709.0
2023-11-12,2008488.0
2023-11-19,2093053.0
2023-11-26,1863033.0
2023-12-03,2004234.0
2023-12-10,2121538.0
2023-12-17,2032689.0
2023-12-24,1900968.0
2023-12-31,1773286.0
2024-01-07,1997248.0
2024-01-14,1954271.0
2024-01-21,2075223.0
2024-01-28,2103289.0
2024-02-04,2168560.0
2024-02-11,2127011.0
2024-02-18,2113450.0
2024-02-25,2119635.0
2024-03-03,2087559.0
2024-03-10,1958914.0
2024-03-17,1975054.0
2024-03-24,2034994.0
2024-03-31,1975012.0
2024-04-07,2018917.0
2024-04-14,1896735.0
2024-04-21,2023429.0
2024-04-28,1996297.0
2024-05-05,2071434.0
2024-05-12,1938766.0
2024-05-19,1910729.0
2024-05-26,1854989.0
2024-06-02,2122399.0
2024-06-09,2083502.0
2024-06-16,1927043.0
2024-06-23,2031859.0
2024-06-30,2079905.0
2024-07-07,1812318.0
2024-07-14,2080500.0
2024-07-21,2088718.0
2024-07-28,2130985.0
2024-08-04,2136667.0
2024-08-11,1831205.0
2024-08-18,1984356.0
2024-08-25,2072215.0
2024-09-01,2047011.0
2024-09-08,1858143.0
2024-09-15,2154565.0
2024-09-22,2090283.0
2024-09-29,2222246.0
2024-10-06,1200357.0
2024-10-13,1991646.0
2024-10-20,2081002.0
2024-10-27,2151622.0
2024-11-03,2135115.0
2024-11-10,2056410.0
2024-11-17,1972044.0
2024-11-24,2114323.0
2024-12-01,2087088.0
2024-12-08,2061561.0
2024-12-15,1979805.0
2024-12-22,2070427.0
2024-12-29,1817413.0
2025-01-05,1754437.0
2025-01-12,2061903.0
2025-01-19,2096091.0
2025-01-26,1894540.0
2025-02-02,2091064.0
2025-02-09,2109942.0
2025-02-16,2026134.0
2025-02-23,2131693.0
2025-03-02,2221381.0
2025-03-09,2107418.0
2025-03-16,2130005.0
2025-03-23,2070916.0
