,Coefficient
bpi,8.279146047459024e-05
PNW,1.6607209703482417
brent_price,-0.03263514524833059
corn_price,0.0016844706025482762
ships_anchored,-0.009609561220641405
ar.L1,0.17232882676469666
ar.L2,-0.11229176632724935
ma.L1,-0.3479303005089482
ma.L2,-0.05809648963048167
sigma2,0.5140972438732677
